№,Имя,Name,Воспоминание,Translation,Translation footnote,Пол,Кол-во,Возраст,Ориентир возраста,Мотив,Лица,Предметы,Цвета,Звуки,"Запахи, вкус",Другие ощущения,Сущности,Пространство,Время дня,Время года,Поведение,Комментарий
11,Ксюша,Ksyusha,"Мне три года. Я гуляю возле дома с мамой. Кругом полно детишек, детских площадок и звуков. Но мне почему-то грустно. Я отпускаю мамину руку и иду в сторону песочницы, где копались какие-то мальчики постарше. Сажусь на краешек и смотрю, как те мучают котенка. Я хотела заплакать, но вместо этого взяла горсть песка и швырнула в них. Потом еще и еще. Кому-то попало в глаза, кто-то закричал, а я взяла котенка и отнесла к подвалу, где жила семья этих кошек. После этого я вернулась на площадку и стала веселой играть с другими мальчиками, которые ползали по перекладинам, качались на качелях и катались на горке.","I am three years old. I am walking with mom near the house. There are lots of kids, playgrounds and sounds. But I feel sad for some reason. I unclench mum's hand and go towards the sandbox with some older boys digging in it. Sit on the edge and start watching as they are tormenting a kitten. I wanted to cry, but instead I picked up a handful of sand and threw it in them. Then one more time and another. Someone has got sand into his eyes, someone shouted, and I took the kitten and brought to the basement, where the cat family lived. After that, I returned to the playground and felt much happier to play with the other boys, who were crawling on the bars, swung on the swings and went down the slide.",,ж,1,3,-,"прогулка, животное, справедливость, игра","мама, мальчики, котенок",-,-,звуки детской площадки,-,"рассерженность, веселость",горсть песка,детская площадка,-,-,активное,
12,Женя,Zhenya,Четыре года или пять. Осенним вечером папа показывает созвездия.,Four or five years old. Father showing constellations at the autumn night.,,ж,1,4-5,-,обучение,папа,-,-,-,-,-,звездное небо,-,вечер,осень,пассивное,
13,Ксюша,Ksyusha,"Мне было около трех, стояли во дворе я и подруга моей мамы, она что-то грызла, а во дворе работал трактор-копатель, расчищал что-то.","I was about three, I was standing with my mom’s friend in the yard; she was chewing on something, and also there was a digger-tractor clearing the ground from something",,ж,1,3,-,"наблюдение, стояние",подруга мамы,трактор,-,шум трактора,-,-,-,двор,-,-,пассивное,
14,Юкка,Yukka,"Мне около года. Я вылезаю из манежа, и иду в соседнюю комнату. Там полутемно. В полутемноте находится мама. Она смотрит телевизор, сидя в самом темном углу в деревянном кресле-качалке. Она не ожидает меня увидеть, но не сердится, а скорее удивляется. Берет меня на руки, и мы смотрим телевизор и качаемся вместе. Показывают что-то синее.","I am about a year. I get out of the playpen, and go into the next room. It’s half dark there. In the semi-darkness there is my mom. She's watching TV, sitting in the darkest corner in a wooden rocking chair. She didn’t expect to see me, but she isn’t angry, rather surprised. Picks me up and let me watch TV too swaying together. Something blue is being shown.",,ж,1,1,-,"телевизор, на руках",мама,"телевизор, кресло-качалка",синий,-,-,покачивание,"полутемнота, удивление мамы, смотрение телевизора","манеж, комната",-,-,активное,
15,-,-,"Помню как бабушка (еще женщина) и мама (еще девушка) ловили машину, я была в руках у мамы. Судя по тому как стеснены были мои движения, я была в грубой форме спеленута в возрасте до года. Перед глазами откликнувшийся водитель – картофельное лицо, вареные джинсы, чмошная стрижка.

Следующее воспоминание – как меня крестили.","I remember my grandmother (being middle-age woman) and mother (still a girl) hitchhiking. I was in the arms of my mother. Judging by tightness of my movements, I was rudely swaddled, under a year old. Right in front of my eyes there is a responsive driver – a potato face, cheap denim, douche haircut. 
My next memory is when I was baptized
",,ж,2,<1,стеснение движений,"на руках, укутывание, наблюдение взрослого","бабушка, мама, водитель",автомобиль,-,-,-,стеснение движений,"лицо водителя, крещение","дорога, церковь",-,-,пассивное,
16,Лена,Lena,"Я помню, что Новый год, я маленькая и в костюме гномика-снежинки (что-то среднее), а старший брат – в костюме волка с огромной пастью.","I remember it was the New year: I'm dressed like somewhere between smurf and snowflake, and my older brother is wearing a wolf costume with a huge mouth",,ж,1,-,-,"встреча Нового года, костюм",брат,новогодние костюмы (одежда),-,-,-,-,костюм волка,-,-,зима,пассивное,
17,Антон,Anton,"Лето. Какой-то курорт. Бегу по дорожке, вокруг чахлые кустики. Сейчас я знаю, что через несколько секунд упаду и разобью лоб. Тогда не знал. 
 
Чуть позже: играю с куклами сестры. Мои солдатики мне перестали нравиться, потому что их не так много и у них нет груди. Открываю сексуальность. То ли дело эти барби. 
 
Дальше: я на диване, плачу. Недавно умерли мой дед и собака. Не чувствую разницы и знаю, что они где-то в одном месте. Хочу туда, но не знаю как.","Summer. A resort. I’m running on a path surrounded by sickly bushes. Now I know that in few seconds I will fall and hurt my forehead. But back to that moment I didn’t.

Later: playing with my sister’s dolls. Disappointed in my soldiers because they are less of them and they have no breasts. Discover sexuality. It’s not like these Barbie.

Next: I'm on the couch, crying. Recently my grandfather and my dog died. Do not feel the difference and know that they are somewhere in one place. I want to go there, but don't know how.",,м,3,-,-,"активность, травма, игра, смерть родственника, смерть животного, сексуальность","дедушка, собака, сестра","чахлые кустики, куклы сестры, солдатики",-,-,-,"отношение времен между собой, желание быть там, где умершие",кустики,"дорога, диван",-,лето,активное,
18,Людмила,Lyudmila,"Я знаю, что папа работает на заводе. Я маленькая. Когда он приходит с работы, я смотрю на него снизу вверх. Он ходит, руки ""размахиваются"" вдоль туловища, они как бы пролетают надо мной. Было мне около года.","I know that dad works in a factory. I'm a little girl. When he comes home from work, I look up at him. He walks, hands ""waves"" along the body, as if they fly over me. It seems I was about a year",,ж,1,1,-,"приход папы с работы, огромность отца",папа,-,-,-,-,смотрение снизу вверх,"руки отца, пролетающие над головой",помещение,-,-,пассивное,
19,Алеся,Alesya,"Лет в пять было здорово в казаков играть, мальчишек избивать. Притворяться, что ты спишь и ночью убегать.","At the age of five it was great to play Cossacks*, to beat boys. Pretend you're sleeping and night to escape",*Cossacks n’ bandits – a Russian analogue of the children game so called Cops and Robbers,ж,-,5,-,игра,мальчики,-,-,-,-,"удовольствие от игры, притворства",-,-,-,-,активное,
20,Ира,Ira,"Мама сидит возле окна и красит глаза, открыв при этом рот.",Mom is sitting near the window putting on mascara with wide open mouth.,,ж,1,-,-,наблюдение родственника,мама,"окно, косметика",-,-,-,-,-,помещение,-,-,пассивное,
21,Рита,Rita,"Мне, наверное, три. Я иду по парапету, держась за мамину руку. Антураж я не помню, но помню, что мы идем на работу к бабушке. Она работала шеф-поваром в каком-то ресторане. 
 
И следующий кадр, как мы уже на кухне, где работает бабушка. Там мне показывают машину для очистки картофеля, похожую на огромную цилиндрическую кастрюлю.","I am probably three. I walk along the parapet, holding my mother's hand. I can't remember the setting, but I remember that we go to work to grandma. She worked as a chef in a restaurant.

And the next picture is, as we are in the kitchen, where grandma works. There I am showed a machine for peeling potatoes – a huge cylindrical pot.
",,ж,2,3,-,"поездка на работу к взрослому, новый предмет","мама, бабушка",машина для очистки картофеля,-,-,-,встреча с новым предметом,-,"улица, кухня",-,-,пассивное,
22,Никита,Nikita,"Года три, приехал дедушка, большой игрушечный камаз, несколько цветовых пятен, светло-красный, темно-зеленый, коричневый.","Three years old, the grandfather came to us, big KAMAZ* toy, few spots of color, light red, dark green, brown.",*KAMAZ – a Russian brand of trucks and engines.,м,1,3,-,"приезд родственника, подарок",дедушка,игрушка,"светло-красный, темно-зеленый, коричневый",-,-,-,-,-,-,-,пассивное,
23,Карина,Karina,"Помню свои переживания о бессмысленности жизни. Я думала об этом, сидя на заднем сидение 41-го ""Москвича"". Решила стать писателем тогда. Это был год 1995.","I recall how I was living through feelings about the meaninglessness of life. I thought about it, sitting in the backseat of Moskvich-41*. I decided to become a writer at that moment. It was in 1995.",*Moskvich 41 or 2141 - a Russian mid-size car sold in USSR since late 80s,ж,1,-,конкретный ориентир года,размышление,-,-,-,-,-,переживания о бессмысленности жизни,решение стать писателем,автомобиль,-,-,пассивное,
24,Валя,Valya,"Одно из самых первых — мы всей семьей в гостях у моей крестной. Там ее муж, три сына и собака, все смеются, я бегаю за собакой, между комнатами занавески из бус. 
 
Помню лес еще, я нашла огромный пень с опятами, все снова смеялись и радовались.","One of the first memories is when we have the family gathering at my godmother’s: there are her husband, three sons and a dog. Everyone laughs; I’m running after the dog from room to another one, through the beaded door curtains.

Also I may recall the forest, where I found a huge tree stump with mushrooms – everybody laughed over again and rejoiced.",,ж,2,-,-,"совместные радостные переживания, активность, смех","семья, семья крестной, собака","занавеска из бус, пень с опятами",-,смех,-,радость,-,"помещение, лес",-,лето/осень,активное,
25,-,-,"Я помню как я почти младенцем, думала о том, где я и кто меня трогает, не знаю, насколько это правдиво, но это воспоминание всю жизнь со мной, и всю жизнь я ему дивлюсь.","I remember, almost being a baby, I was thinking about where I am and who touches me. I don't know as far as it is true, but it's a memory that went through whole my life, and all the time I wonder at it.",,ж,1,<1,-,мысль,кто-то,-,-,-,-,кто-то трогает,-,-,-,-,пассивное,
26,-,-,"Моря, на котором впервые побывала года в три, не помню совершенно. Зато прекрасно запомнилось бабушкино усердие, с которым она отмыла мой аборигенский загар с первого же купания. 
 
После этого я вырвалась в коридор и, слоняясь, натолкнулась на старый взрослый велосипед, стоящий на каком-то хламе, приподнятый над полом. Я стояла и крутила колесо, когда в голову пришла мысль вроде «Да ладно, так будет всегда – бабушка, мама, коридор, ванная. И я маленькая». Так здорово от этой уверенности, что она даже запомнилась.","I do not absolutely remember the sea, which I saw at first time at the age of three. But I clearly remember my grandmother's diligence with which she washed away my aboriginal tan after the first swimming.

Thereafter I escaped into the corridor and, wandering, bump into an old adult bike, standing on some trash, raised above the floor. I stood spinning the wheel when it just occurred to me like ""Oh well, everything will last forever – grandma, mom, a corridor, a bathroom. And I will, a little girl."" I felt so cool due to this confidence so I remember it clearly.
",,ж,1,3,-,"купание, мысль","бабушка, мама",велосипед,-,-,-,радость от уверенности в постоянстве жизни,"бабушкино усердие, аборигенский загар, хлам","ванная, коридор",-,-,"пассивное, активное",
27,Катя,Katya,"Мне год с половиной. Сижу, прислонившись спиной к холодной стене. Ощущаю, как холод проникает внутрь, удивляюсь. Потом больница, воспаление легких. 
 
Еще помню вкус черники с сахаром. Жадно, ложкой.","I am a year and a half. Sitting with my back against the wall, I feel the cold getting inside me. This surprises me. Then goes the hospital, pneumonia.

I still remember the taste of blueberry with sugar. Greedily, with a spoon.
",,ж,2,1.5,-,"холод, болезнь, еда",-,"холодная стена, ложка",-,-,вкус черники с сахаром,"удивление, ощущение холода, проникновение холода внуть",-,больница,-,-,"пассивное, активное",
28,Надя,Nadya,"Я помню, как меня крестили. И помню все до малейших деталей, например, как выглядел батюшка, как он мазал мне лоб и окунал в воду, я помню простыню, в которую меня завернули после крещения. Я помню запахи. И вот еще выражения лиц людей окружающих. И было мне тогда всего-то год отроду. Видимо, сильно впечатлило.","I recall how I was baptized. And everything to the smallest detail, for example, how a priest looked like or how he anointed my forehead and dipped into the water. I remember the sheet that I was wrapped in after ceremony. I remember the smells. And what’s more the expressions on the faces of the people around. How odd, I was only a year old. Apparently, much impressed by it.",,ж,1,1,крещение,крещение,"батюшка, люди",простыня,-,-,запахи церкви,-,выражения лиц окружающих,церковь,-,-,пассивное,
29,Оля,Olya,"Мне четыре. Я иду с дедушкой по каштановой аллее, держа его только за большой палец. Дедушка у меня очень высокий, сильный и добрый. И очень меня смешит.","I am four. I'm walking with grandpa down the chestnut alley, holding his thumb. Grandpa is very tall, strong and kind. And really makes me laugh. A pleasant memory.",,ж,1,4,-,"прогулка, смех",дедушка,-,-,собственный смех,-,сила и доброта дедушки,-,улица,-,-,пассивное,
30,Карина,Karina,"Я помню, как стояла в спортивных штанах и ела мамину розовую помаду. Было мне года два, приблизительно. И мне показалось, что я в тот момент начала слышать свои мысли в голове.",I remember myself standing in sweat pants and eating my mother's pink lipstick. I was two years approx. And it seems that exactly at that moment I began to hear my own thoughts in my head.,,ж,1,2,-,"есть несъедобное, слышать мысли, новое ощущение",-,"спортивные штаны (одежда), мамина помада",розовый,свои мысли в голове,вкус маминой помады,слышать мысли в голове,-,-,-,-,активное,
31,Лена,Lena,Море. Мне было 5 лет.,Sea. I was 5 years old.,,ж,1,5,отдых на море,на море,-,-,-,-,-,-,-,море,-,-,-,
32,Наиля,Nailya,"На стене плакаты висели, страшные цветные пятна – авангард авангардович какой-то папин, и я очень боялась.

У мамы кофта была бархатная фиолетовая.

Я пыталась залезать на собаку и кататься, но собака была русская борзая и не далась ни разу.

На кухне обои были мягонькие в узорчик, и я отдирала под столом, пока не смотрели. Это все в Новосибирске. Наверное, год или полтора года. 
 
Я еще много лет рассказывала, что я в детстве в рваных валенках по снегу в Сибири ходила, но недавно мама меня раскрыла. Оказалось, я насочиняла.","There were some frightening colourful spots on the posters – my Dad’s vanguard-ish things, and I was afraid of them very much.

Mom had a velvet purple blouse.

I tried to saddle the dog and ride on it, but it was Russian wolfhound and it had a very stubborn temper to let it to me.

There were soft wallpapers with some pattern, and I was unsticking some of them under the table while others didn’t see it. All of this happened in Novosibirsk. Probably, about at one or one with a half years old.

By the way, I have been telling everybody that in childhood I used to walk in Siberia wearing valenki, but some time ago my Mom revealed my fantasy.
",,ж,5,1-1.5,место проживания,"страх, предметы, одежда, животное, проказничать, ложное воспоминание","мама, собака","плакаты, кофта (одежда)",фиолетовый,-,-,"бархатность, мягкость","катание на собаке, отдирание обоев",помещение,-,лето,активное,
33,Оля,Olya,"Помню, как папа учил меня плавать.",I remember my father when he taught me swimming.,,ж,1,-,-,обучение,папа,-,-,-,-,-,-,-,-,-,активное,
34,Аксинья,Aksinya,"Мне шесть лет. И я иду по разобранному мосту. Вода внизу. Сзади бабушка, впереди мама протягивает руку. А я иду по бревну. Так и не научилась я чувствовать баланс, все время перебарщиваю.","I am six. I’m going over the dismantled bridge. The water is underneath. My granny is behind me, but my mom is ahead, she is lending me a hand. And I am walking down the wooden beam. Well, I never quite learnt how to find a balance – overdo all the time.",,ж,1,6,-,движение,"бабушка, мама",бревно,-,-,-,-,разобранный мост,разобранный мост,-,не зима,активное,
35,Алена,Alyona,"Я ничего не помню. Только как меня впервые послали одну с пакетом и тридцатью рублями за майонезом в продуктовый. Раньше я ходила только с мамой. Вернулась и была безумно горда собой, светилась счастьем. Это были первые шаги на пути к самостоятельной жизни. Это скучная история.","I do not remember anything. Only the moment when I was sent alone to the grocer’s with a plastic bag and 30 roubles. I used to go shopping with mother only before that time. I came back being proud of myself, shining with happiness. It was one of my first steps to the independent life. Think, it’s a boring story.",,ж,1,-,-,магазин,-,"пакет, деньги, майонез",-,-,-,"гордость собой от самостоятельности, светиться счастьем",-,-,-,-,активное,
36,Вика,Vika,"Оставила свой трехколесный велик под лестницей, и побежала домой, водички попить, а когда вернулась – велосипед уехал без меня. Мне было годика четыре, наверное.","Left my three-wheel bike downstairs and went up home, to drink a glass of water. When I came back, I found out that my bicycle went away without me. I was about four years old, maybe",,ж,1,4,-,кража,-,велосипед,-,-,водичка,потеря велосипеда,-,-,день,-,активное,
37,Настя,Nastya,"Думаю, около трех. Тихий час в детском саду. Рассказали, что нельзя ложиться спать со жвачкой во рту из-за того, что она может попасть не в то горло, и не сможешь дышать. Лежу, размышляю. 
 
Следующий момент: длинный коридор того же детского садика, лестницы, нас ведут то ли на прогулку, то ли с прогулки. На окошках цветочки. На мне шубка. 
 
В этом садике пробыла я совсем чуть-чуть. Интересно, что вскоре его закрыли и отдали это здание под художественную школу. Проучилась четыре года.","I could be about three. Nap time in my kinder garden. Someone told me that you must not go to bed with chewing gum in your mouth because it can go down the wrong pipe and you won’t breathe. Lying, thinking about it.

The next episode: a long hallway in the same kinder garden, stairs – we are being led either to walk or back right after it. There are some room flowers on the window sill. I’ve dressed in a small fur coat. 

I stayed there not so long. It’s funny that in short time this kinder garden was closed and the building was reconstructed to become an art school. I have studied there for 4 years.",,ж,2,3,детский сад,"тихий час, мысль, быть ведомым",-,"цветы, шубка (одежда)",-,-,-,размышление,прогулка,"детский сад, коридор, лестницы",день,-,"пассивное, активное",
38,Полина,Polina,"Я пытаюсь идти на ходунках, а две мои сестры, старшая и двоюродная, вокруг меня как угорелые носятся! Кстати, эти ходунки они же впоследствии и сломали.","I’m making an attempt to walk in a walker; meanwhile my elder sister and a cousin are running across frantically! By the way, it was them who broke this walker afterwards.",,ж,1,-,обучение ходьбе,обучение ходьбе,"старшая сестра, двоюродная сестра",ходунки,-,-,-,-,-,-,-,-,активное,
39,Маша,Masha,"Панамка такая голубая с ромашками, яблоневый сад, лучи солнца прямо через меня проходят. Я хочу лезть куда-то на железную лестницу, стремлюсь к ней, но я еще не могу ходить, не могу даже вполне владеть своим телом, а только наблюдать.","Panama hat is blue with chamomiles, an apple garden, sun light goes right through me. I want to climb somewhere up on the metal stairs, full of urge to get it, but I still can’t walk, can’t even control my body normally, but only watch everything.",,ж,1,-,неумение ходить,"солнечный свет, наблюдение, неумение ходить",-,"панамка, железная лестница",голубой,-,-,-,лучи солнца,сад,день,-,пассивное,
